geo_type,region,transportation_type,alternative_name,sub-region,country,date,count
city,Wichita,driving,NA,Kansas,United States,2020-09-14,139.27
city,Wichita,driving,NA,Kansas,United States,2020-09-15,144.49
city,Wichita,driving,NA,Kansas,United States,2020-09-16,146.08
city,Wichita,driving,NA,Kansas,United States,2020-09-17,151.69
city,Wichita,driving,NA,Kansas,United States,2020-09-18,176.48
city,Wichita,driving,NA,Kansas,United States,2020-09-19,175.98
city,Wichita,driving,NA,Kansas,United States,2020-09-20,117.68
city,Wichita,driving,NA,Kansas,United States,2020-09-21,131.49
city,Wichita,driving,NA,Kansas,United States,2020-09-22,132.87
city,Wichita,driving,NA,Kansas,United States,2020-09-23,139.55
city,Wichita,driving,NA,Kansas,United States,2020-09-24,144.54
city,Wichita,driving,NA,Kansas,United States,2020-09-25,171.25
city,Wichita,driving,NA,Kansas,United States,2020-09-26,172.84
city,Wichita,driving,NA,Kansas,United States,2020-09-27,109.96
city,Wichita,driving,NA,Kansas,United States,2020-09-28,128.33
city,Wichita,driving,NA,Kansas,United States,2020-09-29,132.32
city,Wichita,driving,NA,Kansas,United States,2020-09-30,133.38
city,Wichita,driving,NA,Kansas,United States,2020-10-01,139.26
city,Wichita,driving,NA,Kansas,United States,2020-10-02,164.08
city,Wichita,driving,NA,Kansas,United States,2020-10-03,161.03
city,Wichita,walking,NA,Kansas,United States,2020-01-13,100
city,Wichita,walking,NA,Kansas,United States,2020-01-14,115.79
city,Wichita,walking,NA,Kansas,United States,2020-01-15,118.87
city,Wichita,walking,NA,Kansas,United States,2020-01-16,114.7
city,Wichita,walking,NA,Kansas,United States,2020-01-17,137.05
city,Wichita,walking,NA,Kansas,United States,2020-01-18,166.58
city,Wichita,walking,NA,Kansas,United States,2020-01-19,96.29
city,Wichita,walking,NA,Kansas,United States,2020-01-20,116.17
city,Wichita,walking,NA,Kansas,United States,2020-01-21,103.47
city,Wichita,walking,NA,Kansas,United States,2020-01-22,95.06
city,Wichita,walking,NA,Kansas,United States,2020-01-23,105.09
city,Wichita,walking,NA,Kansas,United States,2020-01-24,187.5
city,Wichita,walking,NA,Kansas,United States,2020-01-25,157.47
city,Wichita,walking,NA,Kansas,United States,2020-01-26,90.31
city,Wichita,walking,NA,Kansas,United States,2020-01-27,103.32
city,Wichita,walking,NA,Kansas,United States,2020-01-28,89.66
city,Wichita,walking,NA,Kansas,United States,2020-01-29,96.26
city,Wichita,walking,NA,Kansas,United States,2020-01-30,109.22
city,Wichita,walking,NA,Kansas,United States,2020-01-31,143.88
city,Wichita,walking,NA,Kansas,United States,2020-02-01,162.91
city,Wichita,walking,NA,Kansas,United States,2020-02-02,99.5
city,Wichita,walking,NA,Kansas,United States,2020-02-03,94.13
city,Wichita,walking,NA,Kansas,United States,2020-02-04,91.78
city,Wichita,walking,NA,Kansas,United States,2020-02-05,102.12
city,Wichita,walking,NA,Kansas,United States,2020-02-06,111.12
city,Wichita,walking,NA,Kansas,United States,2020-02-07,140.83
city,Wichita,walking,NA,Kansas,United States,2020-02-08,161.95
city,Wichita,walking,NA,Kansas,United States,2020-02-09,92.47
city,Wichita,walking,NA,Kansas,United States,2020-02-10,107.33
city,Wichita,walking,NA,Kansas,United States,2020-02-11,100.81
city,Wichita,walking,NA,Kansas,United States,2020-02-12,95.21
city,Wichita,walking,NA,Kansas,United States,2020-02-13,107.41
city,Wichita,walking,NA,Kansas,United States,2020-02-14,154.11
city,Wichita,walking,NA,Kansas,United States,2020-02-15,217.68
city,Wichita,walking,NA,Kansas,United States,2020-02-16,117.29
city,Wichita,walking,NA,Kansas,United States,2020-02-17,123.62
city,Wichita,walking,NA,Kansas,United States,2020-02-18,109.65
city,Wichita,walking,NA,Kansas,United States,2020-02-19,111
city,Wichita,walking,NA,Kansas,United States,2020-02-20,110.69
city,Wichita,walking,NA,Kansas,United States,2020-02-21,153.42
city,Wichita,walking,NA,Kansas,United States,2020-02-22,182.09
city,Wichita,walking,NA,Kansas,United States,2020-02-23,101.04
city,Wichita,walking,NA,Kansas,United States,2020-02-24,106.79
city,Wichita,walking,NA,Kansas,United States,2020-02-25,107.37
city,Wichita,walking,NA,Kansas,United States,2020-02-26,110.23
city,Wichita,walking,NA,Kansas,United States,2020-02-27,133.08
city,Wichita,walking,NA,Kansas,United States,2020-02-28,188.58
city,Wichita,walking,NA,Kansas,United States,2020-02-29,203.9
city,Wichita,walking,NA,Kansas,United States,2020-03-01,111.89
city,Wichita,walking,NA,Kansas,United States,2020-03-02,125.36
city,Wichita,walking,NA,Kansas,United States,2020-03-03,126.24
city,Wichita,walking,NA,Kansas,United States,2020-03-04,131.07
city,Wichita,walking,NA,Kansas,United States,2020-03-05,134.35
city,Wichita,walking,NA,Kansas,United States,2020-03-06,178.08
city,Wichita,walking,NA,Kansas,United States,2020-03-07,204.44
city,Wichita,walking,NA,Kansas,United States,2020-03-08,112.04
city,Wichita,walking,NA,Kansas,United States,2020-03-09,111.08
city,Wichita,walking,NA,Kansas,United States,2020-03-10,119.41
city,Wichita,walking,NA,Kansas,United States,2020-03-11,152.22
city,Wichita,walking,NA,Kansas,United States,2020-03-12,142.26
